P(topic 1),P(topic 2)
0.027541298417426262,0.9724587015825736
0.03096644558077886,0.9690335544192211
0.032685922422577375,0.9673140775774227
0.026490975802284964,0.9735090241977151
0.025778095665090994,0.9742219043349091
0.02786756752436038,0.9721324324756395
0.048003687608022705,0.9519963123919774
0.026366358396398157,0.9736336416036018
0.0408937969699595,0.9591062030300406
0.02678525905628611,0.9732147409437139
0.031883787329090404,0.9681162126709096
0.027333250841576614,0.9726667491584234
0.034343738970903044,0.965656261029097
0.02838579297002831,0.9716142070299716
0.03186382985822918,0.9681361701417709
0.025200208217545553,0.9747997917824545
0.03342399873263383,0.9665760012673662
0.030614686840727493,0.9693853131592726
0.029114060606993585,0.9708859393930064
0.028454137005681775,0.9715458629943182
0.028069477851113123,0.971930522148887
0.028052190296811354,0.9719478097031886
0.02618509425910993,0.97381490574089
0.03745519054879922,0.9625448094512008
0.031086098926096192,0.9689139010739038
0.032283316250223563,0.9677166837497764
0.03405374613327061,0.9659462538667294
0.025938673028959636,0.9740613269710403
0.028939716999038797,0.9710602830009611
0.026674245207408506,0.9733257547925914
0.025639254668058883,0.9743607453319412
0.026484723040465688,0.9735152769595343
0.027015024255962868,0.9729849757440371
0.029833737306922962,0.9701662626930772
0.026625556897914064,0.973374443102086
0.031058107266355023,0.968941892733645
0.027838964961165887,0.9721610350388341
0.033798119676678264,0.9662018803233218
0.02810884933197042,0.9718911506680296
0.025772170043682138,0.9742278299563178
0.028911074118752635,0.9710889258812474
0.025172227469871956,0.9748277725301281
0.03003163909777292,0.969968360902227
0.03139716279132908,0.9686028372086709
0.02864613555724006,0.97135386444276
0.026161402917919713,0.9738385970820803
0.026250537056652548,0.9737494629433475
0.03480389721274287,0.9651961027872571
0.03094047789767826,0.9690595221023218
0.026813471493766595,0.9731865285062334
0.03441053850971575,0.9655894614902844
0.04056998817752463,0.9594300118224753
0.02761761689240634,0.9723823831075936
0.028171128781768178,0.9718288712182318
0.03142090579035687,0.9685790942096432
0.023128885860519748,0.9768711141394801
0.031211418313920818,0.9687885816860792
0.030277457888336343,0.9697225421116638
0.02964111849502767,0.9703588815049723
0.034718776663005255,0.9652812233369946
0.030895145567714843,0.9691048544322851
0.02471669494241299,0.975283305057587
0.03099453972260911,0.9690054602773909
0.03059416212106856,0.9694058378789314
0.029817808616980593,0.9701821913830194
0.03183355946201376,0.9681664405379863
0.02643619314026497,0.973563806859735
0.02358871966349315,0.9764112803365068
0.03734240790099987,0.962657592099
0.031243839743899243,0.9687561602561007
0.023328770937160584,0.9766712290628394
0.02548043439397422,0.9745195656060257
0.025412620162571693,0.9745873798374283
0.033206310776428265,0.9667936892235718
0.024292382045593856,0.9757076179544061
0.04240112303991734,0.9575988769600826
0.02532251363174353,0.9746774863682564
0.02483854275181393,0.975161457248186
0.03037984439044207,0.969620155609558
0.03277833192171999,0.96722166807828
0.028617889769506123,0.9713821102304939
0.03367035120386255,0.9663296487961375
0.03341095498844581,0.9665890450115542
0.025912703810508652,0.9740872961894914
0.03243163153964588,0.9675683684603541
0.03595774567810672,0.9640422543218932
0.029437892946854914,0.9705621070531452
0.028582374700695048,0.9714176252993049
0.026524086398347656,0.9734759136016524
0.02458333681352853,0.9754166631864716
0.026641550771984317,0.9733584492280156
0.027704516279003687,0.9722954837209963
0.02700168783761375,0.9729983121623863
0.0232329074031652,0.9767670925968348
0.03985909864818586,0.9601409013518142
0.024623463535559113,0.9753765364644409
0.025904272875016128,0.9740957271249838
0.025533643451344026,0.974466356548656
0.02774813370812423,0.9722518662918758
0.029255975285628476,0.9707440247143715
0.01980473380196524,0.9801952661980348
0.023354063054600326,0.9766459369453997
0.02378973316219268,0.9762102668378073
0.025544075158935642,0.9744559248410644
0.02337248138010035,0.9766275186198996
0.029966202820820846,0.9700337971791791
0.023427882306230066,0.97657211769377
0.02828022330180354,0.9717197766981965
0.031101231016013028,0.9688987689839869
0.023339412686890583,0.9766605873131093
0.028182389674029192,0.9718176103259708
0.02496383873957514,0.9750361612604248
0.021767723955061203,0.9782322760449388
0.02500801931482043,0.9749919806851796
0.02396803638873506,0.976031963611265
0.026453896597254865,0.9735461034027452
0.022838032645736462,0.9771619673542636
0.021463364092703326,0.9785366359072967
0.032698007629724524,0.9673019923702755
0.020342452915356624,0.9796575470846434
0.02972054910994692,0.9702794508900532
0.03168519912958876,0.9683148008704113
0.024127805690490618,0.9758721943095094
0.02803375988194506,0.9719662401180549
0.029789335192291072,0.9702106648077089
0.02748473175721108,0.9725152682427889
0.026676396093969997,0.97332360390603
0.026970589319289917,0.97302941068071
0.025401800156310453,0.9745981998436896
0.0312384144058463,0.9687615855941537
0.020638192606975567,0.9793618073930245
0.03253148624199817,0.9674685137580019
0.023275652879309553,0.9767243471206905
0.025070168034653527,0.9749298319653464
0.024048797990780014,0.9759512020092199
0.019971247327455206,0.9800287526725449
0.02420027906785767,0.9757997209321423
0.027003000570773955,0.9729969994292261
0.03018499182712174,0.9698150081728781
0.024180081228532668,0.9758199187714673
0.02482654617255118,0.9751734538274488
0.036455052512577364,0.9635449474874226
0.021100199460895825,0.9788998005391042
0.024467353519658702,0.9755326464803412
0.02379647723159454,0.9762035227684054
0.02486951104198875,0.9751304889580112
0.02473872070384109,0.9752612792961589
0.02530183905806511,0.974698160941935
0.03151514929476604,0.9684848507052338
0.025533931225035677,0.9744660687749642
0.02949335244798563,0.9705066475520144
0.026451345411401598,0.9735486545885983
0.020470829576245728,0.9795291704237542
0.02690642124528663,0.9730935787547134
0.026455669860336855,0.9735443301396631
0.021763808692233984,0.9782361913077661
0.02269507320818261,0.9773049267918174
0.021641979250331272,0.9783580207496687
0.04293836491699913,0.9570616350830008
0.03112415664664809,0.968875843353352
0.03125883052252687,0.968741169477473
